dataset,val_uid,train_uid,similarity,train_correct_judge,train_correct_extracted,baseline_correct,reflection_correct_simple,reflection_injected_simple,reflection_correct_complex,reflection_injected_complex
aqua,aqua-validation-000000,aqua-train-033108,0.7531383633613586,True,True,False,False,True,False,True
aqua,aqua-validation-000001,aqua-train-034290,0.6877654194831848,True,True,True,True,True,False,True
aqua,aqua-validation-000002,aqua-train-015218,0.7532795667648315,True,True,False,True,True,False,True
aqua,aqua-validation-000003,aqua-train-086539,0.7466785311698914,True,True,True,True,True,True,True
aqua,aqua-validation-000004,aqua-train-029461,0.6175140142440796,True,True,True,True,True,True,True
aqua,aqua-validation-000005,aqua-train-095307,0.677815854549408,False,,True,True,True,True,True
aqua,aqua-validation-000006,aqua-train-083860,0.8434163928031921,True,True,True,True,True,True,True
aqua,aqua-validation-000007,aqua-train-020083,0.6825233101844788,True,,True,True,True,True,True
aqua,aqua-validation-000008,aqua-train-041554,0.7089629769325256,False,True,True,False,True,True,True
aqua,aqua-validation-000009,aqua-train-043442,0.7887552380561829,True,,True,False,True,True,True
aqua,aqua-validation-000010,aqua-train-047843,0.7209378480911255,True,True,True,True,True,True,True
aqua,aqua-validation-000011,aqua-train-029716,0.6516282558441162,True,True,False,False,True,True,True
aqua,aqua-validation-000012,aqua-train-059065,0.7954056859016418,,,True,True,False,True,False
aqua,aqua-validation-000013,aqua-train-051476,0.7292943000793457,False,,True,True,True,True,True
aqua,aqua-validation-000014,aqua-train-080581,0.9912400841712952,True,True,True,True,True,True,True
aqua,aqua-validation-000015,aqua-train-094632,0.7120794653892517,True,True,True,True,True,True,True
aqua,aqua-validation-000016,aqua-train-030910,0.9423689246177673,True,True,False,False,True,False,True
aqua,aqua-validation-000017,aqua-train-066960,0.9955989718437195,True,True,True,True,True,True,True
aqua,aqua-validation-000018,aqua-train-051683,0.7412452101707458,True,True,True,True,True,False,True
aqua,aqua-validation-000019,aqua-train-037778,0.7191565036773682,True,True,True,True,True,True,True
aqua,aqua-validation-000020,aqua-train-038667,0.7692594528198242,True,True,True,,True,True,True
aqua,aqua-validation-000021,aqua-train-060832,0.6825761198997498,True,True,True,True,True,True,True
aqua,aqua-validation-000022,aqua-train-012138,0.655589759349823,False,,True,True,True,True,True
aqua,aqua-validation-000023,aqua-train-052358,0.5264204144477844,,,False,False,False,False,False
aqua,aqua-validation-000024,aqua-train-041008,0.6987010836601257,True,True,True,,True,,True
aqua,aqua-validation-000025,aqua-train-025920,0.6598821878433228,True,True,True,True,True,True,True
aqua,aqua-validation-000026,aqua-train-088727,0.7239995002746582,False,False,False,True,True,True,True
aqua,aqua-validation-000027,aqua-train-004313,1.0000001192092896,True,,True,True,True,True,True
aqua,aqua-validation-000028,aqua-train-038352,0.820064902305603,True,,True,False,True,False,True
aqua,aqua-validation-000029,aqua-train-006896,0.6857324838638306,False,False,True,False,True,True,True
aqua,aqua-validation-000030,aqua-train-085538,0.8082398176193237,True,True,False,True,True,True,True
aqua,aqua-validation-000031,aqua-train-084640,0.6609807014465332,True,True,True,True,True,False,True
aqua,aqua-validation-000032,aqua-train-010269,0.9712002873420715,True,,True,False,True,False,True
aqua,aqua-validation-000033,aqua-train-028982,0.5693686008453369,False,False,False,False,True,False,True
aqua,aqua-validation-000034,aqua-train-082537,0.6574607491493225,True,True,False,True,True,True,True
aqua,aqua-validation-000035,aqua-train-021932,0.9016959071159363,False,False,False,False,True,False,True
aqua,aqua-validation-000036,aqua-train-027647,0.7306169271469116,False,,False,True,True,True,True
aqua,aqua-validation-000037,aqua-train-079014,0.8318374752998352,True,,True,True,True,True,True
aqua,aqua-validation-000038,aqua-train-011839,0.6648195385932922,False,,True,False,True,True,True
aqua,aqua-validation-000039,aqua-train-023108,0.9110305905342102,True,,True,True,True,False,True
aqua,aqua-validation-000040,aqua-train-046805,0.7593061923980713,False,False,True,True,True,True,True
aqua,aqua-validation-000041,aqua-train-047769,0.808379054069519,True,,True,True,True,True,True
aqua,aqua-validation-000042,aqua-train-077784,0.9910424947738647,True,,False,True,True,True,True
aqua,aqua-validation-000043,aqua-train-003831,0.7003256678581238,True,True,True,True,True,True,True
aqua,aqua-validation-000044,aqua-train-091131,0.9635789394378662,False,,False,False,True,True,True
aqua,aqua-validation-000045,aqua-train-002348,0.6833219528198242,True,True,True,True,True,True,True
aqua,aqua-validation-000046,aqua-train-033973,0.893143892288208,True,True,True,True,True,True,True
aqua,aqua-validation-000047,aqua-train-026793,0.84562748670578,True,True,True,True,True,False,True
aqua,aqua-validation-000048,aqua-train-017350,0.6661292910575867,True,True,True,True,True,True,True
aqua,aqua-validation-000049,aqua-train-065586,0.7047304511070251,True,,True,True,True,True,True
aqua,aqua-validation-000050,aqua-train-085329,0.6768143773078918,True,,False,False,True,False,True
aqua,aqua-validation-000051,aqua-train-003767,0.6423909664154053,True,,False,False,True,True,True
aqua,aqua-validation-000052,aqua-train-045858,0.5633460283279419,True,True,True,True,True,True,True
aqua,aqua-validation-000053,aqua-train-061228,0.735872209072113,True,True,True,True,True,True,True
aqua,aqua-validation-000054,aqua-train-037742,0.6295319199562073,True,True,True,True,True,True,True
aqua,aqua-validation-000055,aqua-train-005506,0.9349052906036377,True,,True,True,True,True,True
aqua,aqua-validation-000056,aqua-train-065421,0.8160532116889954,,,True,True,False,True,False
aqua,aqua-validation-000057,aqua-train-081078,0.6822834610939026,True,True,True,True,True,True,True
aqua,aqua-validation-000058,aqua-train-044607,0.9338191747665405,True,True,True,True,True,True,True
aqua,aqua-validation-000059,aqua-train-049683,0.792243480682373,False,False,True,False,True,True,True
aqua,aqua-validation-000060,aqua-train-050184,0.9999998807907104,True,True,True,True,True,True,True
aqua,aqua-validation-000061,aqua-train-053313,0.8336060047149658,True,True,True,True,True,True,True
aqua,aqua-validation-000062,aqua-train-073527,0.7908552885055542,True,True,False,False,True,False,True
aqua,aqua-validation-000063,aqua-train-077778,0.4920324981212616,True,,True,True,True,True,True
aqua,aqua-validation-000064,aqua-train-088327,0.6708743572235107,True,True,False,True,True,True,True
aqua,aqua-validation-000065,aqua-train-051799,0.6143437027931213,True,,False,True,True,True,True
aqua,aqua-validation-000066,aqua-train-003931,0.9885575175285339,True,True,True,True,True,True,True
aqua,aqua-validation-000067,aqua-train-060600,0.9980683922767639,True,True,True,False,True,True,True
aqua,aqua-validation-000068,aqua-train-071680,0.7744016051292419,True,True,True,True,True,,True
aqua,aqua-validation-000069,aqua-train-092086,0.7648802995681763,True,True,,True,True,True,True
aqua,aqua-validation-000070,aqua-train-005752,0.7154688239097595,False,,,False,True,False,True
aqua,aqua-validation-000071,aqua-train-064736,0.58819979429245,True,True,False,True,True,False,True
aqua,aqua-validation-000072,aqua-train-047297,0.5442436337471008,False,,True,,True,False,True
aqua,aqua-validation-000073,aqua-train-031862,0.4566739797592163,True,True,True,True,True,False,True
aqua,aqua-validation-000074,aqua-train-092518,0.7689676880836487,True,True,True,True,True,True,True
aqua,aqua-validation-000075,aqua-train-059237,0.8889583945274353,True,True,True,True,True,False,True
aqua,aqua-validation-000076,aqua-train-006682,0.9230548143386841,True,True,False,True,True,True,True
aqua,aqua-validation-000077,aqua-train-031563,0.6437337398529053,True,False,,True,True,True,True
aqua,aqua-validation-000078,aqua-train-006236,0.7165080904960632,,,True,True,False,True,False
aqua,aqua-validation-000079,aqua-train-041855,0.8119012117385864,True,,True,True,True,True,True
aqua,aqua-validation-000080,aqua-train-012290,0.9620981216430664,True,,True,True,True,True,True
aqua,aqua-validation-000081,aqua-train-030575,0.6023086905479431,True,True,True,True,True,False,True
aqua,aqua-validation-000082,aqua-train-079962,0.5457480549812317,True,,True,True,True,True,True
aqua,aqua-validation-000083,aqua-train-001603,0.8317830562591553,True,True,True,False,True,True,True
aqua,aqua-validation-000084,aqua-train-069230,0.7639039158821106,True,,True,True,True,True,True
aqua,aqua-validation-000085,aqua-train-016589,0.7910376191139221,True,True,True,True,True,True,True
aqua,aqua-validation-000086,aqua-train-063834,0.7686981558799744,True,,True,False,True,True,True
aqua,aqua-validation-000087,aqua-train-044874,0.7477946281433105,True,True,False,False,True,True,True
aqua,aqua-validation-000088,aqua-train-022883,0.7545720934867859,True,True,False,False,True,False,True
aqua,aqua-validation-000089,aqua-train-090222,0.9434937238693237,True,True,True,True,True,True,True
aqua,aqua-validation-000090,aqua-train-042601,0.9999999403953552,True,,True,True,True,True,True
aqua,aqua-validation-000091,aqua-train-069591,0.5884112119674683,False,False,True,False,True,True,True
aqua,aqua-validation-000093,aqua-train-049221,0.7764685750007629,True,True,True,True,True,True,True
aqua,aqua-validation-000094,aqua-train-046400,0.8559136986732483,True,True,True,True,True,True,True
aqua,aqua-validation-000095,aqua-train-081508,0.8092904090881348,True,True,False,False,True,False,True
aqua,aqua-validation-000096,aqua-train-074920,0.6155712008476257,,,True,True,False,True,False
aqua,aqua-validation-000097,aqua-train-045163,0.6012203097343445,True,True,True,True,True,True,True
aqua,aqua-validation-000098,aqua-train-043736,0.7486116290092468,False,False,True,,True,False,True
aqua,aqua-validation-000099,aqua-train-001913,0.9987434148788452,True,,True,True,True,True,True
aqua,aqua-validation-000100,aqua-train-014964,0.8794137239456177,True,True,True,True,True,True,True
aqua,aqua-validation-000101,aqua-train-022557,0.7474672794342041,True,True,True,True,True,True,True
aqua,aqua-validation-000102,aqua-train-043130,0.8662221431732178,,,True,True,False,True,False
aqua,aqua-validation-000103,aqua-train-058213,0.737869381904602,True,,True,False,True,False,True
aqua,aqua-validation-000104,aqua-train-037459,0.7262685298919678,False,True,True,True,True,True,True
aqua,aqua-validation-000105,aqua-train-043908,0.7893603444099426,True,True,True,True,True,True,True
aqua,aqua-validation-000106,aqua-train-086208,0.7370120286941528,True,True,True,True,True,True,True
aqua,aqua-validation-000107,aqua-train-045899,0.6908389329910278,False,,False,False,True,True,True
aqua,aqua-validation-000108,aqua-train-000058,0.7011640667915344,True,,True,False,True,True,True
aqua,aqua-validation-000109,aqua-train-057964,0.7916580438613892,True,,True,True,True,True,True
aqua,aqua-validation-000110,aqua-train-096119,0.9603278040885925,True,,True,True,True,True,True
aqua,aqua-validation-000111,aqua-train-076340,0.7189642786979675,False,False,True,True,True,True,True
aqua,aqua-validation-000112,aqua-train-025435,0.8357861042022705,True,True,True,True,True,True,True
aqua,aqua-validation-000113,aqua-train-096296,0.831498920917511,,,True,True,False,True,False
aqua,aqua-validation-000114,aqua-train-053849,0.6891342997550964,True,True,False,False,True,True,True
aqua,aqua-validation-000115,aqua-train-054314,0.948371410369873,True,True,True,True,True,True,True
aqua,aqua-validation-000116,aqua-train-039173,0.7827644944190979,True,True,False,True,True,True,True
aqua,aqua-validation-000117,aqua-train-038797,0.545234739780426,True,True,True,True,True,True,True
aqua,aqua-validation-000118,aqua-train-028623,0.8337122797966003,True,,False,True,True,True,True
aqua,aqua-validation-000119,aqua-train-005069,0.6940392255783081,True,True,True,True,True,True,True
aqua,aqua-validation-000120,aqua-train-077898,0.800136387348175,False,True,True,True,True,False,True
aqua,aqua-validation-000121,aqua-train-090207,0.7340909242630005,True,True,False,True,True,True,True
aqua,aqua-validation-000122,aqua-train-025471,0.8995004892349243,True,True,True,False,True,True,True
aqua,aqua-validation-000123,aqua-train-094396,0.912838339805603,False,False,False,True,True,False,True
aqua,aqua-validation-000124,aqua-train-019365,0.5271720886230469,,True,False,True,False,False,False
aqua,aqua-validation-000125,aqua-train-095803,0.9521787762641907,False,False,True,True,True,True,True
aqua,aqua-validation-000126,aqua-train-029517,0.5525558590888977,True,True,False,False,True,False,True
aqua,aqua-validation-000127,aqua-train-084555,0.7640079855918884,True,True,False,False,True,False,True
aqua,aqua-validation-000128,aqua-train-016476,0.9502164125442505,False,True,True,False,True,True,True
aqua,aqua-validation-000129,aqua-train-056891,0.881632924079895,False,,False,False,True,True,True
aqua,aqua-validation-000130,aqua-train-037840,0.8504027128219604,True,True,True,True,True,True,True
aqua,aqua-validation-000131,aqua-train-086230,0.7707021832466125,True,True,False,True,True,True,True
aqua,aqua-validation-000132,aqua-train-014975,0.7423973679542542,True,True,True,True,True,True,True
aqua,aqua-validation-000133,aqua-train-018543,0.6869641542434692,True,True,False,False,True,False,True
aqua,aqua-validation-000134,aqua-train-083761,0.6217890381813049,True,True,,False,True,True,True
aqua,aqua-validation-000135,aqua-train-008574,0.6697173714637756,False,,True,True,True,True,True
aqua,aqua-validation-000136,aqua-train-003803,1.0,True,,True,False,True,False,True
