dataset,split,n,max_seq_length,n_over_limit,rate_over_limit,p95_tokens,max_tokens
aqua,train,79041,256,16,0.00020242658873243,105.0,381
aqua,validation,252,256,0,0.0,112.0,165
arc,train,1116,256,0,0.0,101.0,193
arc,validation,298,256,0,0.0,99.14999999999998,157
gsm8k,train,6473,256,0,0.0,108.0,223
gsm8k,validation,1000,256,0,0.0,105.04999999999995,155
logiqa2,train,11394,256,993,0.08715113217482885,276.0,511
logiqa2,validation,1551,256,160,0.1031592520954223,285.0,474
openbookqa,train,4816,256,0,0.0,53.0,101
openbookqa,validation,499,256,0,0.0,58.0,97
