model,dataset,depth,pool,similarity,effect,ci_low,ci_high,effective_n
mistral-7b,aqua,complex,all,0.299996640086174,0.004912727330160026,-0.07571196515284678,0.07914862135495872,153.65331715708768
mistral-7b,aqua,complex,all,0.3084739474728703,0.004283552952982779,-0.0750565438606794,0.07790798021398655,157.49398363386751
mistral-7b,aqua,complex,all,0.31695125485956666,0.0034854330642072706,-0.0752467040697536,0.07674407846858197,162.4858329552131
mistral-7b,aqua,complex,all,0.32542856224626304,0.002481304365303532,-0.07612276021043606,0.07546619247828405,168.9531024144186
mistral-7b,aqua,complex,all,0.3339058696329594,0.0012310857349232698,-0.0769384848388436,0.07283159918989252,177.28464646667695
mistral-7b,aqua,complex,all,0.3423831770196557,-0.00030538513257977835,-0.07793733848634231,0.07012179255899566,187.9130989996598
mistral-7b,aqua,complex,all,0.35086048440635204,-0.002163549119529017,-0.07974243639328883,0.06807507401501238,201.24539373537183
mistral-7b,aqua,complex,all,0.35933779179304837,-0.004367367068579194,-0.08024745090092456,0.06517369620421905,217.49818055476945
mistral-7b,aqua,complex,all,0.3678150991797447,-0.006921165206711976,-0.08126055672751221,0.061207551354212505,236.382026296429
mistral-7b,aqua,complex,all,0.37629240656644103,-0.009801600014406435,-0.08144671361119282,0.05756914888890974,256.6334661059595
mistral-7b,aqua,complex,all,0.3847697139531374,-0.012952198702425687,-0.08389458670565542,0.05357579799848122,275.61410472143086
mistral-7b,aqua,complex,all,0.39324702133983375,-0.01628323210215601,-0.08550974594370772,0.049832837831917574,289.55969204433177
mistral-7b,aqua,complex,all,0.4017243287265301,-0.019678701227737936,-0.09188093641886382,0.04798140558862174,295.0269135202442
mistral-7b,aqua,complex,all,0.4102016361132264,-0.023009915421873806,-0.09721416625927239,0.04532419110705627,290.9144626193007
mistral-7b,aqua,complex,all,0.41867894349992274,-0.026152455616513432,-0.10177796038891042,0.043323422114307814,279.1893774125942
mistral-7b,aqua,complex,all,0.4271562508866191,-0.02900179306909973,-0.10664441418530551,0.041317756067982624,263.53902178450784
