model,dataset,depth,pool,policy,threshold,n,baseline_accuracy,treatment_accuracy,difference,ci_low,ci_high,helped,harmed,mcnemar_p,memory_use_rate
mistral-7b,aqua,complex,all,always_top,,111,0.25225225225225223,0.2702702702702703,0.018018018018018018,-0.07207207207207207,0.10810810810810811,13,11,0.8388197422027588,
mistral-7b,aqua,complex,all,threshold_top,0.299996640086174,111,0.25225225225225223,0.2702702702702703,0.018018018018018018,-0.07207207207207207,0.0990990990990991,13,11,0.8388197422027588,1.0
mistral-7b,aqua,complex,all,placebo,,111,0.25225225225225223,0.34234234234234234,0.09009009009009009,0.0,0.18018018018018017,19,9,0.08715855330228806,
mistral-7b,aqua,complex,errors,always_top,,111,0.25225225225225223,0.26126126126126126,0.009009009009009009,-0.08108108108108109,0.09031531531531409,12,11,1.0,
mistral-7b,aqua,complex,errors,threshold_top,0.2999970614910126,111,0.25225225225225223,0.26126126126126126,0.009009009009009009,-0.07207207207207207,0.09009009009009009,12,11,1.0,0.7837837837837838
mistral-7b,aqua,complex,correct,always_top,,111,0.25225225225225223,0.26126126126126126,0.009009009009009009,0.0,0.02702702702702703,1,0,1.0,
mistral-7b,aqua,simple,all,always_top,,111,0.25225225225225223,0.27927927927927926,0.02702702702702703,-0.04504504504504504,0.0990990990990991,10,7,0.629058837890625,
mistral-7b,aqua,simple,all,threshold_top,0.8934081571549177,111,0.25225225225225223,0.24324324324324326,-0.009009009009009009,-0.036036036036036036,0.018018018018018018,1,2,1.0,0.24324324324324326
mistral-7b,aqua,simple,all,placebo,,111,0.25225225225225223,0.3153153153153153,0.06306306306306306,-0.018018018018018018,0.15315315315315314,15,8,0.21003961563110352,
mistral-7b,aqua,simple,errors,always_top,,111,0.25225225225225223,0.26126126126126126,0.009009009009009009,-0.06306306306306306,0.07229729729729607,8,7,1.0,
mistral-7b,aqua,simple,errors,threshold_top,0.8903508358448742,111,0.25225225225225223,0.24324324324324326,-0.009009009009009009,-0.036036036036036036,0.018018018018018018,1,2,1.0,0.2072072072072072
mistral-7b,aqua,simple,correct,always_top,,111,0.25225225225225223,0.2702702702702703,0.018018018018018018,0.0,0.04504504504504504,2,0,0.5,
mistral-7b,arc,complex,all,always_top,,121,0.7768595041322314,0.743801652892562,-0.03305785123966942,-0.11570247933884298,0.049586776859504134,11,15,0.557197093963623,
mistral-7b,arc,complex,all,placebo,,121,0.7768595041322314,0.7603305785123967,-0.01652892561983471,-0.0743801652892562,0.04132231404958678,5,7,0.7744140625,
mistral-7b,arc,complex,errors,always_top,,121,0.7768595041322314,0.768595041322314,-0.008264462809917356,-0.049586776859504134,0.024793388429752067,2,3,1.0,
