model,dataset,depth,pool,n_rows_calibration,n_questions_calibration,threshold,threshold_ci_low,threshold_ci_high,threshold_identification_rate,confident_help_threshold,confident_harm_region_start,status
mistral-7b,aqua,complex,all,564,141,0.299996640086174,0.299996640086174,0.9103627719283105,0.701,,,identified
mistral-7b,aqua,complex,errors,421,141,0.2999970614910126,0.2999970614910126,0.8792282285019747,0.813,,,identified
mistral-7b,aqua,complex,correct,143,95,,0.2999961543083191,0.8795954450964927,0.595,,0.40763602259755133,no_crossing
mistral-7b,aqua,simple,all,564,141,0.8934081571549177,0.299996640086174,0.9357946940883994,0.801,,0.6984300872609019,identified
mistral-7b,aqua,simple,errors,421,141,0.8903508358448742,0.2999970614910126,0.9331300948560235,0.818,,,identified
mistral-7b,aqua,simple,correct,143,95,,0.2999961543083191,0.8795954450964927,0.515,,0.40763602259755133,no_crossing
mistral-7b,arc,complex,all,708,177,,0.29880037605762483,0.6723163332045079,0.201,,0.6118946342542768,no_crossing
mistral-7b,arc,complex,errors,158,108,,0.29939706027507784,0.7046864045783876,0.662,,,no_crossing
mistral-7b,arc,complex,correct,550,175,,0.2986698913574219,0.5096051742322742,0.271,,0.6315745554864406,no_crossing
mistral-7b,arc,simple,all,708,177,,0.29880037605762483,0.4361224191263318,0.143,,0.5404871718585491,no_crossing
mistral-7b,arc,simple,errors,158,108,,0.29939706027507784,0.7046864045783876,0.34,,0.5587822406291961,no_crossing
mistral-7b,arc,simple,correct,550,175,,0.2986698913574219,0.45479069936275474,0.233,,0.5684374640136957,no_crossing
mistral-7b,gsm8k,complex,all,2260,565,0.299953248500824,0.299953248500824,0.6728244955901054,0.978,,,identified
mistral-7b,gsm8k,complex,errors,1478,560,0.2999545407295227,0.2999545407295227,0.6717285568714142,0.99,,,identified
mistral-7b,gsm8k,complex,correct,782,465,0.29995308339595794,0.29995308339595794,0.6515234849160535,0.97,,,identified
mistral-7b,gsm8k,simple,all,2260,565,0.299953248500824,0.299953248500824,0.5991414450556041,0.91,,,identified
mistral-7b,gsm8k,simple,errors,1478,560,0.59611350274086,0.2999545407295227,0.7221385929584503,0.751,,,identified
mistral-7b,gsm8k,simple,correct,782,465,0.29995308339595794,0.29995308339595794,0.42190356498211623,0.999,0.4283220113813877,,identified
mistral-7b,logiqa2,complex,all,3744,936,0.8341604084521532,0.750205057837069,0.8723219314590096,0.969,,0.299899086356163,identified
mistral-7b,logiqa2,complex,errors,1833,870,0.80105816103518,0.33846121914684774,0.8473178552240133,0.999,0.8473178552240133,0.34617116817831994,identified
mistral-7b,logiqa2,complex,correct,1911,880,,0.29989399313926696,0.8643277963995923,0.268,,0.3444545565545558,no_crossing
