dataset,student,depth,k,threshold,n_shared,wrong_to_right,right_to_wrong,kept_right,kept_wrong,rate_wrong_to_right,rate_right_to_wrong,utility,baseline_accuracy,condition_accuracy,delta_accuracy,accuracy,accuracy_answered,mean_retrieved,pct_fallback_baseline,mcnemar_p
arc,phi4-mini,simple,1,0.0,298,17,28,229,24,0.057,0.094,-0.0369,0.8624,0.8255,-0.0369,0.8255,0.8255,1.0,0.0,0.1351564508456704
arc,phi4-mini,simple,1,0.52,298,20,26,231,21,0.0671,0.0872,-0.0201,0.8624,0.8423,-0.0201,0.8423,0.8423,0.9966442953020134,0.003355704697986577,0.4613911821367651
arc,phi4-mini,simple,1,0.65,298,17,23,234,24,0.057,0.0772,-0.0201,0.8624,0.8423,-0.0201,0.8423,0.8451,0.7315436241610739,0.2684563758389262,0.42959050784338615
arc,phi4-mini,simple,1,0.69,298,11,21,236,30,0.0369,0.0705,-0.0336,0.8624,0.8289,-0.0336,0.8289,0.8316,0.47651006711409394,0.5234899328859061,0.11018416518345475
arc,phi4-mini,simple,1,0.73,298,7,11,246,34,0.0235,0.0369,-0.0134,0.8624,0.849,-0.0134,0.849,0.849,0.24161073825503357,0.7583892617449665,0.480682373046875
arc,phi4-mini,simple,2,0.0,298,19,24,233,22,0.0638,0.0805,-0.0168,0.8624,0.8456,-0.0168,0.8456,0.8456,2.0,0.0,0.542384011856484
arc,phi4-mini,simple,2,0.52,298,22,25,232,19,0.0738,0.0839,-0.0101,0.8624,0.8523,-0.0101,0.8523,0.8523,1.9932885906040267,0.003355704697986577,0.7708669945730263
arc,phi4-mini,simple,2,0.65,298,15,23,234,26,0.0503,0.0772,-0.0268,0.8624,0.8356,-0.0268,0.8356,0.8356,1.2651006711409396,0.2684563758389262,0.2558750795433298
arc,phi4-mini,simple,2,0.69,298,11,17,240,30,0.0369,0.057,-0.0201,0.8624,0.8423,-0.0201,0.8423,0.8423,0.714765100671141,0.5234899328859061,0.34492845088243484
arc,phi4-mini,simple,2,0.73,298,9,10,247,32,0.0302,0.0336,-0.0034,0.8624,0.8591,-0.0034,0.8591,0.8591,0.3187919463087248,0.7583892617449665,1.0
