dataset,student,depth,k,threshold,n_shared,mean_retrieved,pct_fallback_baseline,baseline_accuracy,condition_accuracy,delta_accuracy,utility,wrong_to_right,right_to_wrong,mcnemar_p
logiqa2,phi4-mini,simple,3,0.67,300,1.1133,0.4833,0.5333,0.56,0.0267,0.0267,25,17,0.28
logiqa2,llama3-8b,simple,3,0.7,300,0.45,0.7367,0.55,0.5733,0.0233,0.0233,17,10,0.2478
logiqa2,phi4-mini,simple,1,0.7,300,0.2633,0.7367,0.5333,0.5533,0.02,0.02,20,14,0.3915
logiqa2,phi4-mini,simple,3,0.65,300,1.6867,0.2667,0.5333,0.5533,0.02,0.02,27,21,0.4709
logiqa2,llama3-8b,simple,2,0.67,300,0.8567,0.4833,0.55,0.5667,0.0167,0.0167,23,18,0.5327
logiqa2,llama3-8b,simple,2,0.7,300,0.3967,0.7367,0.55,0.5633,0.0133,0.0133,15,11,0.5572
logiqa2,llama3-8b,complex,1,0.67,300,0.5167,0.4833,0.55,0.5633,0.0133,0.0133,22,18,0.6358
logiqa2,llama3-8b,complex,2,0.7,300,0.3967,0.7367,0.55,0.56,0.01,0.01,17,14,0.7201
logiqa2,llama3-8b,simple,3,0.67,300,1.1133,0.4833,0.55,0.56,0.01,0.01,21,18,0.7493
logiqa2,phi4-mini,simple,1,0.67,300,0.5167,0.4833,0.5333,0.54,0.0067,0.0067,22,20,0.8776
arc,llama3-8b,complex,1,0.65,298,0.7315,0.2685,0.8456,0.8523,0.0067,0.0067,16,14,0.8555
logiqa2,llama3-8b,complex,1,0.7,300,0.2633,0.7367,0.55,0.5567,0.0067,0.0067,14,12,0.845
arc,llama3-8b,complex,1,0.73,298,0.2416,0.7584,0.8456,0.849,0.0034,0.0034,8,7,1.0
logiqa2,phi4-mini,complex,1,0.0,300,1.0,0.0,0.5333,0.5367,0.0033,0.0033,35,34,1.0
logiqa2,phi4-mini,complex,3,0.65,300,1.6867,0.2667,0.5333,0.5367,0.0033,0.0033,27,26,1.0
