dataset,student,content,pool,depth,k,threshold,grid_stage,n_shared,wrong_to_right,right_to_wrong,kept_right,kept_wrong,rate_wrong_to_right,rate_right_to_wrong,utility,baseline_accuracy,condition_accuracy,delta_accuracy,utility_vs_baseline05,accuracy,accuracy_answered,notas_media,pct_reusou_controle,similaridade_media,palavras_prompt,palavras_de_nota,mcnemar_p
arc,phi4-mini,full,all,simple,1,0.0,completa,298,14,26,236,22,0.047,0.0872,-0.0403,0.8792,0.8389,-0.0403,-0.0235,0.8389,0.8418,1.0,0.0,0.69086615691249,283.0,204.0,0.0806904677519924
arc,phi4-mini,full,all,simple,1,0.65,completa,298,7,17,245,29,0.0235,0.057,-0.0336,0.8792,0.8456,-0.0336,-0.0168,0.8456,0.8485,0.7315436241610739,0.2684563758389262,0.7189616560935974,268.0,189.0,0.06391465663909912
arc,phi4-mini,full,all,simple,1,0.7,completa,298,2,8,254,34,0.0067,0.0268,-0.0201,0.8792,0.8591,-0.0201,-0.0034,0.8591,0.862,0.40604026845637586,0.5939597315436241,0.7530822256379877,102.5,23.5,0.109375
arc,phi4-mini,full,all,simple,3,0.0,completa,298,17,23,239,19,0.057,0.0772,-0.0201,0.8792,0.8591,-0.0201,-0.0034,0.8591,0.8591,3.0,0.0,0.6614987100464119,568.5,489.5,0.42959050784338615
arc,phi4-mini,full,all,simple,3,0.65,completa,298,8,18,244,28,0.0268,0.0604,-0.0336,0.8792,0.8456,-0.0336,-0.0168,0.8456,0.8485,1.6778523489932886,0.2684563758389262,0.6987459676437058,399.5,320.5,0.07551869750022888
arc,phi4-mini,full,all,simple,3,0.7,completa,298,2,10,252,34,0.0067,0.0336,-0.0268,0.8792,0.8523,-0.0268,-0.0101,0.8523,0.8552,0.6610738255033557,0.5939597315436241,0.7430726521271319,102.5,23.5,0.03857421875
arc,phi4-mini,full,all,complex,1,0.0,completa,298,17,27,235,19,0.057,0.0906,-0.0336,0.8792,0.8456,-0.0336,-0.0168,0.8456,0.8456,1.0,0.0,0.69086615691249,287.0,208.0,0.17417114727072658
arc,phi4-mini,full,all,complex,1,0.65,completa,298,8,20,242,28,0.0268,0.0671,-0.0403,0.8792,0.8389,-0.0403,-0.0235,0.8389,0.8389,0.7315436241610739,0.2684563758389262,0.7189616560935974,270.5,191.5,0.03569813817739487
arc,phi4-mini,full,all,complex,1,0.7,completa,298,3,13,249,33,0.0101,0.0436,-0.0336,0.8792,0.8456,-0.0336,-0.0168,0.8456,0.8456,0.40604026845637586,0.5939597315436241,0.7530822256379877,102.5,23.5,0.021270751953125
arc,phi4-mini,full,all,complex,3,0.0,completa,298,19,22,240,17,0.0638,0.0738,-0.0101,0.8792,0.8691,-0.0101,0.0067,0.8691,0.8721,3.0,0.0,0.6614987100464119,585.0,506.0,0.755228657504631
arc,phi4-mini,full,all,complex,3,0.65,completa,298,10,13,249,26,0.0336,0.0436,-0.0101,0.8792,0.8691,-0.0101,0.0067,0.8691,0.8691,1.6778523489932886,0.2684563758389262,0.6987459676437058,413.5,334.5,0.6776394844055176
arc,phi4-mini,full,all,complex,3,0.7,completa,298,3,12,250,33,0.0101,0.0403,-0.0302,0.8792,0.849,-0.0302,-0.0134,0.849,0.849,0.6610738255033557,0.5939597315436241,0.7430726521271319,102.5,23.5,0.03515625
arc,phi4-mini,full,errors,simple,1,0.0,completa,298,17,20,242,19,0.057,0.0671,-0.0101,0.8792,0.8691,-0.0101,0.0067,0.8691,0.8721,1.0,0.0,0.6128551586962386,286.0,207.0,0.7428293587290682
arc,phi4-mini,full,errors,simple,1,0.65,completa,298,3,4,258,33,0.0101,0.0134,-0.0034,0.8792,0.8758,-0.0034,0.0134,0.8758,0.8758,0.22483221476510068,0.7751677852348994,0.6982175476515471,88.5,9.5,1.0
arc,phi4-mini,full,errors,simple,1,0.7,completa,298,1,0,262,35,0.0034,0.0,0.0034,0.8792,0.8826,0.0034,0.0201,0.8826,0.8826,0.07718120805369127,0.9228187919463087,0.749514885570692,83.5,4.5,1.0
arc,phi4-mini,full,errors,simple,3,0.0,completa,298,17,21,241,19,0.057,0.0705,-0.0134,0.8792,0.8658,-0.0134,0.0034,0.8658,0.8658,3.0,0.0,0.5815375852971535,585.0,506.0,0.6271025701571489
arc,phi4-mini,full,errors,simple,3,0.65,completa,298,3,3,259,33,0.0101,0.0101,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8792,0.2516778523489933,0.7751677852348994,0.6956873006785094,88.5,9.5,1.0
arc,phi4-mini,full,errors,simple,3,0.7,completa,298,1,0,262,35,0.0034,0.0,0.0034,0.8792,0.8826,0.0034,0.0201,0.8826,0.8826,0.08389261744966443,0.9228187919463087,0.7462651587050894,83.5,4.5,1.0
arc,phi4-mini,full,errors,complex,1,0.0,completa,298,20,19,243,16,0.0671,0.0638,0.0034,0.8792,0.8826,0.0034,0.0201,0.8826,0.8826,1.0,0.0,0.6128551586962386,291.0,212.0,1.0
arc,phi4-mini,full,errors,complex,1,0.65,completa,298,3,5,257,33,0.0101,0.0168,-0.0067,0.8792,0.8725,-0.0067,0.0101,0.8725,0.8725,0.22483221476510068,0.7751677852348994,0.6982175476515471,88.5,9.5,0.7265625
arc,phi4-mini,full,errors,complex,1,0.7,completa,298,1,3,259,35,0.0034,0.0101,-0.0067,0.8792,0.8725,-0.0067,0.0101,0.8725,0.8725,0.07718120805369127,0.9228187919463087,0.749514885570692,83.5,4.5,0.625
arc,phi4-mini,full,errors,complex,3,0.0,completa,298,18,21,241,18,0.0604,0.0705,-0.0101,0.8792,0.8691,-0.0101,0.0067,0.8691,0.8691,3.0,0.0,0.5815375852971535,605.0,526.0,0.7492586247608418
arc,phi4-mini,full,errors,complex,3,0.65,completa,298,3,5,257,33,0.0101,0.0168,-0.0067,0.8792,0.8725,-0.0067,0.0101,0.8725,0.8725,0.2516778523489933,0.7751677852348994,0.6956873006785094,88.5,9.5,0.7265625
arc,phi4-mini,full,errors,complex,3,0.7,completa,298,1,2,260,35,0.0034,0.0067,-0.0034,0.8792,0.8758,-0.0034,0.0134,0.8758,0.8758,0.08389261744966443,0.9228187919463087,0.7462651587050894,83.5,4.5,1.0
arc,phi4-mini,lesson,all,simple,1,0.0,completa,298,16,21,241,20,0.0537,0.0705,-0.0168,0.8792,0.8624,-0.0168,0.0,0.8624,0.8653,1.0,0.0,0.69086615691249,161.5,82.5,0.5113757815852296
arc,phi4-mini,lesson,all,simple,1,0.65,completa,298,9,17,245,27,0.0302,0.057,-0.0268,0.8792,0.8523,-0.0268,-0.0101,0.8523,0.8552,0.7315436241610739,0.2684563758389262,0.7189616560935974,151.0,72.0,0.16863754391670227
arc,phi4-mini,lesson,all,simple,1,0.7,completa,298,5,7,255,31,0.0168,0.0235,-0.0067,0.8792,0.8725,-0.0067,0.0101,0.8725,0.8754,0.40604026845637586,0.5939597315436241,0.7530822256379877,102.5,23.5,0.7744140625
arc,phi4-mini,lesson,all,simple,3,0.0,completa,298,19,23,239,17,0.0638,0.0772,-0.0134,0.8792,0.8658,-0.0134,0.0034,0.8658,0.8658,3.0,0.0,0.6614987100464119,201.0,122.0,0.6439689563703723
arc,phi4-mini,lesson,all,simple,3,0.65,completa,298,10,17,245,26,0.0336,0.057,-0.0235,0.8792,0.8557,-0.0235,-0.0067,0.8557,0.8557,1.6778523489932886,0.2684563758389262,0.6987459676437058,175.0,96.0,0.24778856337070465
arc,phi4-mini,lesson,all,simple,3,0.7,completa,298,7,7,255,29,0.0235,0.0235,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8822,0.6610738255033557,0.5939597315436241,0.7430726521271319,102.5,23.5,1.0
arc,phi4-mini,lesson,all,complex,1,0.0,completa,298,21,22,240,15,0.0705,0.0738,-0.0034,0.8792,0.8758,-0.0034,0.0134,0.8758,0.8758,1.0,0.0,0.69086615691249,168.0,89.0,1.0
arc,phi4-mini,lesson,all,complex,1,0.65,completa,298,12,16,246,24,0.0403,0.0537,-0.0134,0.8792,0.8658,-0.0134,0.0034,0.8658,0.8658,0.7315436241610739,0.2684563758389262,0.7189616560935974,158.0,79.0,0.5715881884098053
arc,phi4-mini,lesson,all,complex,1,0.7,completa,298,8,9,253,28,0.0268,0.0302,-0.0034,0.8792,0.8758,-0.0034,0.0134,0.8758,0.8758,0.40604026845637586,0.5939597315436241,0.7530822256379877,102.5,23.5,1.0
arc,phi4-mini,lesson,all,complex,3,0.0,completa,298,15,25,237,21,0.0503,0.0839,-0.0336,0.8792,0.8456,-0.0336,-0.0168,0.8456,0.8456,3.0,0.0,0.6614327319049729,223.0,144.0,0.1538599441628321
arc,phi4-mini,lesson,all,complex,3,0.65,completa,298,9,19,243,27,0.0302,0.0638,-0.0336,0.8792,0.8456,-0.0336,-0.0168,0.8456,0.8456,1.674496644295302,0.2684563758389262,0.6988215692546389,191.0,112.0,0.08715855330228806
arc,phi4-mini,lesson,all,complex,3,0.7,completa,298,7,10,252,29,0.0235,0.0336,-0.0101,0.8792,0.8691,-0.0101,0.0067,0.8691,0.8691,0.6577181208053692,0.5939597315436241,0.7432425401427529,102.5,23.5,0.629058837890625
arc,phi4-mini,lesson,errors,simple,1,0.0,completa,298,19,19,243,17,0.0638,0.0638,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8792,1.0,0.0,0.6128551586962386,161.0,82.0,1.0
arc,phi4-mini,lesson,errors,simple,1,0.65,completa,298,3,4,258,33,0.0101,0.0134,-0.0034,0.8792,0.8758,-0.0034,0.0134,0.8758,0.8758,0.22483221476510068,0.7751677852348994,0.6982175476515471,88.5,9.5,1.0
arc,phi4-mini,lesson,errors,simple,1,0.7,completa,298,1,1,261,35,0.0034,0.0034,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8792,0.07718120805369127,0.9228187919463087,0.749514885570692,83.5,4.5,1.0
arc,phi4-mini,lesson,errors,simple,3,0.0,completa,298,16,23,239,20,0.0537,0.0772,-0.0235,0.8792,0.8557,-0.0235,-0.0067,0.8557,0.8557,3.0,0.0,0.5815375852971535,203.0,124.0,0.3367836351899315
arc,phi4-mini,lesson,errors,simple,3,0.65,completa,298,3,5,257,33,0.0101,0.0168,-0.0067,0.8792,0.8725,-0.0067,0.0101,0.8725,0.8725,0.2516778523489933,0.7751677852348994,0.6956873006785094,88.5,9.5,0.7265625
arc,phi4-mini,lesson,errors,simple,3,0.7,completa,298,1,1,261,35,0.0034,0.0034,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8792,0.08389261744966443,0.9228187919463087,0.7462651587050894,83.5,4.5,1.0
arc,phi4-mini,lesson,errors,complex,1,0.0,completa,298,20,26,236,16,0.0671,0.0872,-0.0201,0.8792,0.8591,-0.0201,-0.0034,0.8591,0.8591,1.0,0.0,0.6128551586962386,168.0,89.0,0.4613911821367651
arc,phi4-mini,lesson,errors,complex,1,0.65,completa,298,3,4,258,33,0.0101,0.0134,-0.0034,0.8792,0.8758,-0.0034,0.0134,0.8758,0.8758,0.22483221476510068,0.7751677852348994,0.6982175476515471,88.5,9.5,1.0
arc,phi4-mini,lesson,errors,complex,1,0.7,completa,298,2,0,262,34,0.0067,0.0,0.0067,0.8792,0.8859,0.0067,0.0235,0.8859,0.8859,0.07718120805369127,0.9228187919463087,0.749514885570692,83.5,4.5,0.5
arc,phi4-mini,lesson,errors,complex,3,0.0,completa,298,21,23,239,15,0.0705,0.0772,-0.0067,0.8792,0.8725,-0.0067,0.0101,0.8725,0.8725,3.0,0.0,0.5815375852971535,222.5,143.5,0.880395821280672
arc,phi4-mini,lesson,errors,complex,3,0.65,completa,298,2,4,258,34,0.0067,0.0134,-0.0067,0.8792,0.8725,-0.0067,0.0101,0.8725,0.8725,0.2516778523489933,0.7751677852348994,0.6956873006785094,88.5,9.5,0.6875
arc,phi4-mini,lesson,errors,complex,3,0.7,completa,298,2,0,262,34,0.0067,0.0,0.0067,0.8792,0.8859,0.0067,0.0235,0.8859,0.8859,0.08389261744966443,0.9228187919463087,0.7462651587050894,83.5,4.5,0.5
arc,phi4-mini,lesson_source,all,simple,1,0.0,completa,298,19,23,239,17,0.0638,0.0772,-0.0134,0.8792,0.8658,-0.0134,0.0034,0.8658,0.8687,1.0,0.0,0.69086615691249,198.5,119.5,0.6439689563703723
arc,phi4-mini,lesson_source,all,simple,1,0.65,completa,298,10,17,245,26,0.0336,0.057,-0.0235,0.8792,0.8557,-0.0235,-0.0067,0.8557,0.8586,0.7315436241610739,0.2684563758389262,0.7189616560935974,182.0,103.0,0.24778856337070465
arc,phi4-mini,lesson_source,all,simple,1,0.7,completa,298,4,10,252,32,0.0134,0.0336,-0.0201,0.8792,0.8591,-0.0201,-0.0034,0.8591,0.862,0.40604026845637586,0.5939597315436241,0.7530822256379877,102.5,23.5,0.1795654296875
arc,phi4-mini,lesson_source,all,simple,3,0.0,completa,298,15,22,240,21,0.0503,0.0738,-0.0235,0.8792,0.8557,-0.0235,-0.0067,0.8557,0.8557,3.0,0.0,0.6614987100464119,309.0,230.0,0.3240086000878364
arc,phi4-mini,lesson_source,all,simple,3,0.65,completa,298,9,15,247,27,0.0302,0.0503,-0.0201,0.8792,0.8591,-0.0201,-0.0034,0.8591,0.8591,1.6778523489932886,0.2684563758389262,0.6987459676437058,244.0,165.0,0.30745625495910645
arc,phi4-mini,lesson_source,all,simple,3,0.7,completa,298,3,10,252,33,0.0101,0.0336,-0.0235,0.8792,0.8557,-0.0235,-0.0067,0.8557,0.8586,0.6610738255033557,0.5939597315436241,0.7430726521271319,102.5,23.5,0.09228515625
arc,phi4-mini,lesson_source,all,complex,1,0.0,completa,298,18,27,235,18,0.0604,0.0906,-0.0302,0.8792,0.849,-0.0302,-0.0134,0.849,0.849,1.0,0.0,0.69086615691249,204.0,125.0,0.23269319190831084
arc,phi4-mini,lesson_source,all,complex,1,0.65,completa,298,10,19,243,26,0.0336,0.0638,-0.0302,0.8792,0.849,-0.0302,-0.0134,0.849,0.849,0.7315436241610739,0.2684563758389262,0.7189616560935974,189.0,110.0,0.13604594767093658
arc,phi4-mini,lesson_source,all,complex,1,0.7,completa,298,5,12,250,31,0.0168,0.0403,-0.0235,0.8792,0.8557,-0.0235,-0.0067,0.8557,0.8557,0.40604026845637586,0.5939597315436241,0.7530822256379877,102.5,23.5,0.143463134765625
arc,phi4-mini,lesson_source,all,complex,3,0.0,completa,298,14,27,235,22,0.047,0.0906,-0.0436,0.8792,0.8356,-0.0436,-0.0268,0.8356,0.8356,3.0,0.0,0.6614327319049729,332.0,253.0,0.05958388801809633
arc,phi4-mini,lesson_source,all,complex,3,0.65,completa,298,9,17,245,27,0.0302,0.057,-0.0268,0.8792,0.8523,-0.0268,-0.0101,0.8523,0.8523,1.674496644295302,0.2684563758389262,0.6988215692546389,251.5,172.5,0.16863754391670227
arc,phi4-mini,lesson_source,all,complex,3,0.7,completa,298,5,14,248,31,0.0168,0.047,-0.0302,0.8792,0.849,-0.0302,-0.0134,0.849,0.849,0.6577181208053692,0.5939597315436241,0.7432425401427529,102.5,23.5,0.063568115234375
arc,phi4-mini,lesson_source,errors,simple,1,0.0,completa,298,19,21,241,17,0.0638,0.0705,-0.0067,0.8792,0.8725,-0.0067,0.0101,0.8725,0.8784,1.0,0.0,0.6128551586962386,203.0,124.0,0.8746293123804207
arc,phi4-mini,lesson_source,errors,simple,1,0.65,completa,298,2,4,258,34,0.0067,0.0134,-0.0067,0.8792,0.8725,-0.0067,0.0101,0.8725,0.8725,0.22483221476510068,0.7751677852348994,0.6982175476515471,88.5,9.5,0.6875
arc,phi4-mini,lesson_source,errors,simple,1,0.7,completa,298,1,1,261,35,0.0034,0.0034,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8792,0.07718120805369127,0.9228187919463087,0.749514885570692,83.5,4.5,1.0
arc,phi4-mini,lesson_source,errors,simple,3,0.0,completa,298,17,25,237,19,0.057,0.0839,-0.0268,0.8792,0.8523,-0.0268,-0.0101,0.8523,0.8523,3.0,0.0,0.5815375852971535,332.0,253.0,0.27995623852893914
arc,phi4-mini,lesson_source,errors,simple,3,0.65,completa,298,2,3,259,34,0.0067,0.0101,-0.0034,0.8792,0.8758,-0.0034,0.0134,0.8758,0.8758,0.2516778523489933,0.7751677852348994,0.6956873006785094,88.5,9.5,1.0
arc,phi4-mini,lesson_source,errors,simple,3,0.7,completa,298,1,1,261,35,0.0034,0.0034,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8792,0.08389261744966443,0.9228187919463087,0.7462651587050894,83.5,4.5,1.0
arc,phi4-mini,lesson_source,errors,complex,1,0.0,completa,298,18,22,240,18,0.0604,0.0738,-0.0134,0.8792,0.8658,-0.0134,0.0034,0.8658,0.8658,1.0,0.0,0.6128551586962386,207.0,128.0,0.6358280026288412
arc,phi4-mini,lesson_source,errors,complex,1,0.65,completa,298,3,3,259,33,0.0101,0.0101,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8792,0.22483221476510068,0.7751677852348994,0.6982175476515471,88.5,9.5,1.0
arc,phi4-mini,lesson_source,errors,complex,1,0.7,completa,298,1,1,261,35,0.0034,0.0034,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8792,0.07718120805369127,0.9228187919463087,0.749514885570692,83.5,4.5,1.0
arc,phi4-mini,lesson_source,errors,complex,3,0.0,completa,298,18,20,242,18,0.0604,0.0671,-0.0067,0.8792,0.8725,-0.0067,0.0101,0.8725,0.8725,3.0,0.0,0.5815375852971535,347.0,268.0,0.8714146793645341
arc,phi4-mini,lesson_source,errors,complex,3,0.65,completa,298,3,3,259,33,0.0101,0.0101,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8792,0.2516778523489933,0.7751677852348994,0.6956873006785094,88.5,9.5,1.0
arc,phi4-mini,lesson_source,errors,complex,3,0.7,completa,298,1,1,261,35,0.0034,0.0034,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8792,0.08389261744966443,0.9228187919463087,0.7462651587050894,83.5,4.5,1.0
arc,phi4-mini,playbook,all,simple,1,0.0,completa,298,14,19,243,22,0.047,0.0638,-0.0168,0.8792,0.8624,-0.0168,0.0,0.8624,0.8624,1.0,0.0,,161.0,82.0,0.48685024166479707
arc,phi4-mini,playbook,all,simple,3,0.0,completa,298,19,25,237,17,0.0638,0.0839,-0.0201,0.8792,0.8591,-0.0201,-0.0034,0.8591,0.8591,3.0,0.0,,190.0,111.0,0.4513808323961257
arc,phi4-mini,playbook,all,complex,1,0.0,completa,298,19,23,239,17,0.0638,0.0772,-0.0134,0.8792,0.8658,-0.0134,0.0034,0.8658,0.8687,1.0,0.0,,180.0,101.0,0.6439689563703723
arc,phi4-mini,playbook,all,complex,3,0.0,completa,298,21,21,241,15,0.0705,0.0705,0.0,0.8792,0.8792,0.0,0.0168,0.8792,0.8792,3.0,0.0,,226.0,147.0,1.0
arc,phi4-mini,playbook,errors,simple,1,0.0,completa,298,17,23,239,19,0.057,0.0772,-0.0201,0.8792,0.8591,-0.0201,-0.0034,0.8591,0.862,1.0,0.0,,170.0,91.0,0.42959050784338615
arc,phi4-mini,playbook,errors,simple,3,0.0,completa,298,18,19,243,18,0.0604,0.0638,-0.0034,0.8792,0.8758,-0.0034,0.0134,0.8758,0.8758,3.0,0.0,,204.0,125.0,1.0
arc,phi4-mini,playbook,errors,complex,1,0.0,completa,298,14,17,245,22,0.047,0.057,-0.0101,0.8792,0.8691,-0.0101,0.0067,0.8691,0.8691,1.0,0.0,,168.0,89.0,0.720100131817162
arc,phi4-mini,playbook,errors,complex,3,0.0,completa,298,19,22,240,17,0.0638,0.0738,-0.0101,0.8792,0.8691,-0.0101,0.0067,0.8691,0.8721,3.0,0.0,,241.0,162.0,0.755228657504631
